ID,TITLE,LOCATION,SALARY,SUMMARY,LINK
182,"Test Analyst 2 - Camera

new","Seattle, WA 98134 (Industrial District area)",$33.50 an hour,"Core Hours: * Monday-Friday, 10am-5pm.
 Those in the role are expected to be flexible, proactive, confident, clear, and professional in their testing and…",https://www.indeed.com/viewjob?jk=1d964c672115a129
183,Operations Analyst,"Seattle, WA",,"Bachelor's degree in Math, Finance, Statistics, Engineering or related discipline.
 4+ years experience as an Operations analyst, Business analyst, Data…",https://www.indeed.com/viewjob?jk=20875d0c32e4f03d
184,"Python MicroServices Cloud Developer (w2 only)

new","Denver, CO",$45 - $60 an hour,"As a member of a cross-functional, autonomous team, you will help deliver some of the bank's most important products and services while developing skills and…",https://www.indeed.com/viewjob?jk=0038fd49f0817cbd
185,Business Intelligence Analyst - Contract,"Los Angeles, CA",$65 an hour,"Remote - based in Los Angeles, CA.
 An exciting opportunity for an experienced Business Analyst with a background in Marketing, Product, or Advertising to…",https://www.indeed.com/viewjob?jk=416db8471e8f6108
186,"Client Development Engineer, Python Focus","Seattle, WA 98121 (Belltown area)",,"We partner with researchers, patients, and healthcare innovators to drive collaborative data-driven science to improve health.",https://www.indeed.com/viewjob?jk=6d49150ad8b4db53
187,Software Engineer,"Seattle, WA 98121 (Belltown area)",,"We help companies, governments, and individuals from the earliest stages of problem definition to prototype creation and demonstration.",https://www.indeed.com/viewjob?jk=728db615301f7d70
188,"DESIGN - Junior Technical Designer

new","Bellevue, WA 98004 (Downtown area)",,"We’re looking for a Junior Technical Designer to assist in the production of Layout and Design content.
 Working with the Design and Environment team, reviewing…",https://www.indeed.com/viewjob?jk=71f33d9751b9c1d3
189,Software Engineer (Entry-Level),"Somerville, MA 02143 (Union Square area)",,"We’re looking for an incredibly talented full-time software engineer.
 Design, build, test, deploy, and maintain software.
 You love learning new things fast.",https://www.indeed.com/viewjob?jk=4895c5581d575885
190,Reporting and Analytics Manager,"Seattle, WA",,"Businesses around the world including Alipay, Stripe, Airbnb, and Microsoft leverage our solutions to approve more good transactions, reduce friction, and find…",https://www.indeed.com/viewjob?jk=e98b81d61b7cab04
191,"Senior Systems Administrator (Washington, D.C. or U.S. Remot...","Washington, DC 20006 (Downtown area)","$140,000 - $200,000 a year","We’re looking for a highly skilled and motivated Senior Systems Administrator for a full-time, permanent position.
 10+ years of total work experience.",https://www.indeed.com/viewjob?jk=7fae60d30ba476d3
192,"Python Backend Product Engineer- McD Tech Labs

new","Mountain View, CA",,We are currently looking for talented Python Product Backend Engineers to work on the transformative in-store AI Drive Through Voice Agent product.,https://www.indeed.com/viewjob?jk=ece18b326e655971
193,Code Mentor,"Redmond, WA",$14 - $18 an hour,"While building their projects and working with code mentors and like-minded kids, kids gain lifelong skills such as logic, problem-solving, critical thinking…",https://www.indeed.com/viewjob?jk=6b0a9fa7ae64a43b
194,"Python Test Engineer

new","Plano, TX",,"Good knowledge of basic networking concepts.
 Experience with DPDK and other networking applications is a bonus.
 Job Types: Full-time, Contract.",https://www.indeed.com/viewjob?jk=04775c4819323525
195,Application Security Engineer,"Seattle, WA",,You will be relied upon to provide engineering and product teams with the security expertise necessary to make confident product decisions.,https://www.indeed.com/viewjob?jk=e0770bada51594f4
196,Python Developer (Django),"Raleigh, NC 27616 (Northeast area)",,In this position you will help build and maintain effective information software applications that assist the company in minimizing administrative costs and…,https://www.indeed.com/viewjob?jk=a542cedd5b8a50a1
197,Software Development Engineer (Internship 2021),"Seattle, WA 98101 (Downtown area)",,"We hire committed, adaptive engineers with diverse backgrounds and who we can depend on to solve problems head on.",https://www.indeed.com/viewjob?jk=c6fbdd45120f53d8
198,"Jr. Software Engineer

new","The Woodlands, TX 77380",,"As a member of the IT team, the Jr. Software Engineer is responsible for designing, developing, verifying and deploying software and database applications of…",https://www.indeed.com/viewjob?jk=9ea60dc730d86528
199,Software Engineer,"Seattle, WA",,"Engineers are responsible for the full product lifecycle, including design, implementation, deployment, and maintenance.
 Sensor processing systems: Rust/C++.",https://www.indeed.com/viewjob?jk=e4008445e64298e3
200,"Database Administrator

new","Redmond, WA 98052 (Overlake area)",,"Perform data preprocessing using R packages like cran, caret, ggplot and packages like pandas, numpy in python.",https://www.indeed.com/viewjob?jk=baeb5703622a292e
201,Biomedical R&D Studies Co-Op Intern,"Santa Clara Valley, CA 95014",,"Medical, health, wellness, and/or fitness sensors, systems, and applications.
 Design and execution of human user studies involving physiological measurement…",https://www.indeed.com/viewjob?jk=f313e9b432ee0fc7
202,Finance Analyst,"Seattle, WA 98104 (Pioneer Square area)",,"This position is a key role to both support the Financial, Planning and Analysis team and learn about each aspect of FP&A through a series of rotations in each…",https://www.indeed.com/viewjob?jk=0a2ba9282326c15e
203,POS Fuel Systems Engineer,"Seattle, WA 98134 (Industrial District area)",,The Point of Sale (POS) Fuel Systems Engineer will join the POS Fuel team providing senior expertise and leadership for Costco’s fuel environments.,https://www.indeed.com/viewjob?jk=4c981018eedd22b1
204,"Software Engineer Intern

new","San Francisco, CA 94111 (Financial District area)",,"Proficiency in a managed language: e.g. C#, Java, etc.
 Proficiency in a scripted language such as Python or Terraform.",https://www.indeed.com/viewjob?jk=82dd6d46d2bc9318
205,Software Engineer,"Redmond, WA",,"You will have opportunities to work on multiple layers of the technology stack, ranging from customer-focused user experience work, building scalable…",https://www.indeed.com/viewjob?jk=d51a4d693fce6d52
